Characteristic,CHARLS China,HRS United States,ELSA England,Pooled SHARE
Participants,15329,22514,13194,93605
Memory observations,46754,100829,72704,322139
Observations per participant mean,3.05,4.48,5.51,3.44
Baseline age mean SD,"59.7 (8.0)","63.9 (10.4)","61.5 (9.6)","63.6 (9.6)"
Women percent,50.7,58.1,53.7,56.1
Baseline episodic memory mean SD,"7.09 (3.36)","9.96 (3.38)","10.20 (3.54)","8.89 (3.58)"
Low education percent,87.5,19.8,36.1,41.0
Intermediate education percent,10.7,34.0,47.1,37.8
High education percent,1.8,46.2,16.8,21.2
Maximum observed follow-up years,7,10,16,16
