"model","estimate","SE","CI_lo","CI_hi","p_value","wave","note"
"M0",0.235158331256283,0.0263286399837851,0.183554196888064,0.286762465624501,2.08721928629529e-14,"Wave_2011",""
"M1",0.233274735771645,0.0264048456715336,0.181521238255439,0.28502823328785,2.26485497023532e-14,"Wave_2011",""
"M2",0.228571691100607,0.0284533988996989,0.172803029257197,0.284340352944017,4.18554080283684e-14,"Wave_2011",""
"M0",0.260991127040512,0.116363444635675,0.03291877555459,0.489063478526434,0.0641893688577195,"Wave_2013","无直接t=4观测支持，仅描述性/外推结果，不纳入正式推断"
"M1",0.249802747332584,0.117162250368345,0.0201647366106287,0.479440758054539,0.0834422410405425,"Wave_2013","无直接t=4观测支持，仅描述性/外推结果，不纳入正式推断"
"M2",0.197410632353955,0.139109664105528,-0.0752443092928795,0.470065574000789,0.330983616531685,"Wave_2013","无直接t=4观测支持，仅描述性/外推结果，不纳入正式推断"
"M0",NA,NA,NA,NA,NA,"Wave_2015","Not estimable"
"M1",NA,NA,NA,NA,NA,"Wave_2015","Not estimable"
"M2",NA,NA,NA,NA,NA,"Wave_2015","Not estimable"
"M0",0.242996957442461,0.0255018190270216,0.193013392149499,0.292980522735424,2.4757973449141e-14,"Wave_1+2","t=4支持主要来自2011队列"
"M1",0.240665759362827,0.0255816789361474,0.190525668647978,0.290805850077676,2.80886425230165e-14,"Wave_1+2","t=4支持主要来自2011队列"
"M2",0.234199161144858,0.027699815453893,0.179907522855227,0.288490799434488,2.95319324550292e-14,"Wave_1+2","t=4支持主要来自2011队列"
