"model","study","contrast","Q_bar","U_bar","B","T_var","SE_pooled","CI_lo","CI_hi","df_pooled","t_stat","p_value","FMI","MC_error","is_cross","p_holm"
"M0_Base","China","Mid - Low",0.226986323407752,0.000436976832641442,0,0.000436976832641442,0.0209039908304955,0.186015254246825,0.267957392568679,Inf,10.8585162157943,1.8167710396754e-27,0,0,FALSE,NA
"M0_Base","USA","Mid - Low",0.00588968035468086,6.83210589022947e-05,0,6.83210589022947e-05,0.00826565538250263,-0.0103107065036439,0.0220900672130057,Inf,0.712548501253583,0.476125188773601,0,0,FALSE,NA
"M0_Base","England","Mid - Low",0.05249159050076,6.84637499632247e-05,0,6.84637499632247e-05,0.00827428244400834,0.0362742949125916,0.0687088860889284,Inf,6.34394472946361,2.23955203097081e-10,0,0,FALSE,NA
"M0_Base","Europe","Mid - Low",0.0155064380605462,1.29837762640963e-05,0,1.29837762640963e-05,0.00360330074571862,0.00844409837347142,0.022568777747621,Inf,4.30339823257071,1.68198125493753e-05,0,0,FALSE,NA
"M0_Base","China - USA","Mid - Low",0.221096643053071,0.000505296783134366,0,0.000505296783134366,0.0224788074224227,0.177038990089711,0.265154296016431,Inf,9.83578171645023,7.89520472383878e-23,0,0,TRUE,1.57904094476776e-22
"M0_Base","China - England","Mid - Low",0.174494732906992,0.000505440268927976,0,0.000505440268927976,0.0224819987751974,0.130430825007131,0.218558640806852,Inf,7.76153110992507,8.39101299250729e-15,0,0,TRUE,8.39101299250729e-15
"M0_Base","China - Europe","Mid - Low",0.211479885347205,0.0004499605326105,0,0.0004499605326105,0.0212122731599068,0.169904593923563,0.253055176770848,Inf,9.96969460806883,2.06863915787795e-23,0,0,TRUE,6.20591747363384e-23
"M1_ChildSES","China","Mid - Low",0.224695440385473,0.00043940263684368,4.91219923381973e-09,0.000439407794652876,0.0209620560693095,0.183610565447357,0.26578031532359,137898191308.034,10.7191508143349,8.2759660075039e-27,1.17380921737752e-05,1.56719482417148e-05,FALSE,NA
"M1_ChildSES","USA","Mid - Low",-0.00844306342400312,7.10971335565137e-05,1.75089673747757e-07,7.12809777139489e-05,0.00844280627007092,-0.0249906666539236,0.00810453980591734,2856282.97891842,-1.00003045834809,0.317295852748107,0.00257914752759022,9.35653979171137e-05,FALSE,NA
"M1_ChildSES","England","Mid - Low",0.0449835009961261,7.20022735386115e-05,5.01111188819148e-07,7.25284402868716e-05,0.0085163630903615,0.0282916800973344,0.0616753218949178,361013.530724456,5.28200835483832,1.27849131027486e-07,0.00725462654620669,0.000158289479880873,FALSE,NA
