"model","study","contrast","estimate","SE","CI_lo","CI_hi","p_value","df_rubin","FMI","MC_error","p_holm","nobs","n_ids"
"M0","China","Within Mid-Low",0.219838763821822,0.0187228374656904,0.183142002389069,0.256535525254576,7.78640576491059e-32,NA,NA,NA,NA,542426,144642
"M0","USA","Within Mid-Low",0.00584776763644376,0.00828439136826677,-0.0103896394453591,0.0220851747182466,0.480264158165376,NA,NA,NA,NA,542426,144642
"M0","England","Within Mid-Low",0.0500476192306623,0.00822257648694972,0.0339313693162408,0.0661638691450838,1.15326173508767e-09,NA,NA,NA,NA,542426,144642
"M0","Europe","Within Mid-Low",0.0196407018254964,0.00352305499322183,0.0127355140387816,0.0265458896122112,2.47662991578103e-08,NA,NA,NA,NA,542426,144642
"M0","China vs USA","Cross-national",0.213990996185379,0.0204737549269712,0.173862436528515,0.254119555842242,1.43518390672915e-25,NA,NA,NA,2.87036781345829e-25,542426,144642
"M0","China vs England","Cross-national",0.16979114459116,0.0204488011743598,0.129711494289415,0.209870794892905,1.01316579363946e-16,NA,NA,NA,1.01316579363946e-16,542426,144642
"M0","China vs Europe","Cross-national",0.200198061996326,0.0190513670211445,0.162857382634883,0.237538741357769,7.90810202825932e-26,NA,NA,NA,2.3724306084778e-25,542426,144642
"M1","China","Within Mid-Low",0.217813774323093,0.0187980780189152,0.180970218422018,0.254657330224168,4.79507072910128e-31,8217047775.2492,4.8086026834678e-05,2.84454787551134e-05,NA,542426,144642
"M1","China vs England","Cross-national",0.17574503057429,0.0206163287473131,0.135337764949139,0.21615229619944,1.53414372553031e-17,12914655.1389252,0.00121292903879716,0.000156682098760252,1.53414372553031e-17,542426,144642
"M1","China vs Europe","Cross-national",0.20372550110608,0.0191614085835428,0.166169829358381,0.241281172853779,2.11376182746346e-26,44093630.0481684,0.000656430684145393,0.000107130275293004,4.22752365492691e-26,542426,144642
"M1","China vs USA","Cross-national",0.226273777956362,0.0206175718163523,0.185864078774031,0.266683477138693,5.05198547692788e-28,50236083.3077949,0.000614991218488331,0.000111573826016902,1.51559564307836e-27,542426,144642
"M1","England","Within Mid-Low",0.0420687437488034,0.0084652011700997,0.0254772045664089,0.0586602829311979,6.7115270586839e-07,403515.721322052,0.00686193453662916,0.000153020959630882,NA,542426,144642
"M1","Europe","Within Mid-Low",0.0140882732170134,0.00371614337613411,0.00680462597434977,0.021371920459677,0.000150121058393381,62941.6786974499,0.0173743129415684,0.000106889890959295,NA,542426,144642
"M1","USA","Within Mid-Low",-0.00846000363326862,0.00846789364878844,-0.0250567813568834,0.00813677409034613,0.317761767704355,1802101.05601062,0.00324703694359264,0.000105295391214967,NA,542426,144642
