"model","estimand","comparison_type","comparison","estimate","SE","CI_lo","CI_hi","z","p_value","p_holm"
"Primary_combined_selection_weighted_M0","average_annual_change_difference_0_to_4","within_cohort","China",0.0931922672743197,0.0237850917987401,0.04657434397981,0.139810190568829,3.91809575774923,8.92512522846198e-05,NA
"Primary_combined_selection_weighted_M0","average_annual_change_difference_0_to_4","within_cohort","USA",-0.0193840200125055,0.013968302754635,-0.0467613903367418,0.00799335031173076,-1.38771476771388,0.165223917348651,NA
"Primary_combined_selection_weighted_M0","average_annual_change_difference_0_to_4","within_cohort","England",0.00494754126188413,0.0135681929055099,-0.0216456281682071,0.0315407106919754,0.364642609103456,0.715378204156392,NA
"Primary_combined_selection_weighted_M0","average_annual_change_difference_0_to_4","within_cohort","Europe",0.00361731070167604,0.0054849329215775,-0.0071329602822339,0.014367581685586,0.659499533247835,0.509575045708042,NA
"Primary_combined_selection_weighted_M0","cross_cohort_average_annual_difference_0_to_4","cross_cohort","(Mid-Low cumulative change, 0-4 China) - (Mid-Low cumulative change, 0-4 USA)",0.112576287286825,0.0275834021418613,0.0585138125176921,0.166638762055958,4.08130537008618,4.47834701791499e-05,0.00013435041053745
"Primary_combined_selection_weighted_M0","cross_cohort_average_annual_difference_0_to_4","cross_cohort","(Mid-Low cumulative change, 0-4 China) - (Mid-Low cumulative change, 0-4 England)",0.0882447260124355,0.0273829591278161,0.0345751123317837,0.141914339693087,3.22261467800224,0.00127026306133454,0.00127026306133454
"Primary_combined_selection_weighted_M0","cross_cohort_average_annual_difference_0_to_4","cross_cohort","(Mid-Low cumulative change, 0-4 China) - (Mid-Low cumulative change, 0-4 Europe)",0.0895749565726436,0.0244093236495546,0.0417335613325348,0.137416351812753,3.66970252263741,0.000242832889315607,0.000485665778631214
"Revised_M0_plus_first_return_and_conditional_IPCW","instantaneous_rate_year_4","within_cohort","China",0.163112223262557,0.0281922642610283,0.107856400668305,0.218368045856808,5.78570851040283,7.22073312432487e-09,NA
"Revised_M0_plus_first_return_and_conditional_IPCW","instantaneous_rate_year_4","within_cohort","USA",-0.00194553736611509,0.0161440912622491,-0.033587374803251,0.0296963000710208,-0.120510800794621,0.904078524203647,NA
"Revised_M0_plus_first_return_and_conditional_IPCW","instantaneous_rate_year_4","within_cohort","England",0.0147899021240142,0.01344604514526,-0.011563862095195,0.0411436663432234,1.09994440478492,0.27135634571072,NA
"Revised_M0_plus_first_return_and_conditional_IPCW","instantaneous_rate_year_4","within_cohort","Europe",-0.0171747522501765,0.00656473648486201,-0.0300413993285021,-0.0043081051718509,-2.61621350526113,0.00889109428648785,NA
"Revised_M0_plus_first_return_and_conditional_IPCW","cross_cohort_difference_year_4","cross_cohort","China - USA [Mid-Low]",0.165057760628672,0.0324874659960953,0.101383497327355,0.228732023929988,5.08065974269925,3.7612629367478e-07,7.5225258734956e-07
"Revised_M0_plus_first_return_and_conditional_IPCW","cross_cohort_difference_year_4","cross_cohort","China - England [Mid-Low]",0.148322321138542,0.0312345945101268,0.0871036408269814,0.209541001450103,4.74865524796403,2.04773665546796e-06,2.04773665546796e-06
"Revised_M0_plus_first_return_and_conditional_IPCW","cross_cohort_difference_year_4","cross_cohort","China - Europe [Mid-Low]",0.180286975512733,0.0289464942485149,0.123552889306948,0.237021061718518,6.22828360370385,4.71572858016751e-10,1.41471857405025e-09
