"estimand","comparison","revised_without_first_return","combined_weight_estimate","absolute_change","relative_change_percent"
"instantaneous_rate_year_4","China",0.161618405089495,0.163112223262557,0.00149381817306202,0.924287164097942
"instantaneous_rate_year_4","USA",-0.00107509235883221,-0.00194553736611509,-0.00087044500728288,-80.9646724890109
"instantaneous_rate_year_4","England",0.0132465482392939,0.0147899021240142,0.0015433538847203,11.650989048922
"instantaneous_rate_year_4","Europe",-0.0175214660607956,-0.0171747522501765,0.000346713810619102,1.97879452219399
"cross_cohort_difference_year_4","China - USA [Mid-Low]",0.162693497448328,0.165057760628672,0.002364263180344,1.45320078394337
"cross_cohort_difference_year_4","China - England [Mid-Low]",0.148371856850201,0.148322321138542,-4.9535711658999e-05,-0.0333861910948591
"cross_cohort_difference_year_4","China - Europe [Mid-Low]",0.179139871150291,0.180286975512733,0.001147104362442,0.640340062252043
"average_annual_change_difference_0_to_4","China",0.0932536548715567,0.0931922672743197,-6.1387597236992e-05,-0.065828623362317
"average_annual_change_difference_0_to_4","USA",-0.00400162523002949,-0.0193840200125055,-0.015382394782476,-384.403683459449
"average_annual_change_difference_0_to_4","England",0.0148343525429121,0.00494754126188413,-0.00988681128102797,-66.6480808813723
"average_annual_change_difference_0_to_4","Europe",0.00833818756685126,0.00361731070167604,-0.00472087686517522,-56.6175422095711
