"model","study","contrast","estimate","SE","CI_lo","CI_hi"
"IPCW_current","China","Within Mid-Low",0.219838763821822,0.0187228374656904,0.183142002389069,0.256535525254576
"IPCW_current","USA","Within Mid-Low",0.00584776763644376,0.00828439136826677,-0.0103896394453591,0.0220851747182466
"IPCW_current","England","Within Mid-Low",0.0500476192306623,0.00822257648694972,0.0339313693162408,0.0661638691450838
"IPCW_current","Europe","Within Mid-Low",0.0196407018254964,0.00352305499322183,0.0127355140387816,0.0265458896122112
"IPCW_current","China vs USA","Cross-national",0.213990996185379,0.0204737549269712,0.173862436528515,0.254119555842242
"IPCW_current","China vs England","Cross-national",0.16979114459116,0.0204488011743598,0.129711494289415,0.209870794892905
"IPCW_current","China vs Europe","Cross-national",0.200198061996326,0.0190513670211445,0.162857382634883,0.237538741357769
"Unweighted","China","Within Mid-Low",0.214176402087984,0.0188892703386914,0.177153432224148,0.251199371951819
"Unweighted","USA","Within Mid-Low",0.00660789381747275,0.00810137824551295,-0.00927080754373263,0.0224865951786781
"Unweighted","England","Within Mid-Low",0.0497322243431975,0.00781488973452885,0.034415040463521,0.065049408222874
"Unweighted","Europe","Within Mid-Low",0.0214813598930781,0.0034764668565968,0.0146674848541484,0.0282952349320079
"Unweighted","China vs USA","Cross-national",0.207568508270511,0.0205532312596538,0.167284175001589,0.247852841539432
"Unweighted","China vs England","Cross-national",0.164444177744786,0.0204419789347821,0.124377899032613,0.204510456456959
"Unweighted","China vs Europe","Cross-national",0.192695042194905,0.0192064611234947,0.155050378392856,0.230339705996955
"IPCW_truncated","China","Within Mid-Low",0.218268241451215,0.0187229183832527,0.18157132142004,0.254965161482391
"IPCW_truncated","USA","Within Mid-Low",0.00605989448065256,0.00827672175387782,-0.010162480156948,0.0222822691182531
"IPCW_truncated","England","Within Mid-Low",0.0502009152964161,0.00821175883525374,0.0341058679793188,0.0662959626135134
"IPCW_truncated","Europe","Within Mid-Low",0.0195713992262797,0.00351834894614854,0.0126754352918286,0.0264673631607309
"IPCW_truncated","China vs USA","Cross-national",0.212208346970563,0.0204707283003843,0.17208571950181,0.252330974439316
"IPCW_truncated","China vs England","Cross-national",0.168067326154799,0.0204445305255028,0.127996046324814,0.208138605984785
"IPCW_truncated","China vs Europe","Cross-national",0.198696842224936,0.0190505757989674,0.16135771365896,0.236035970790912
