"country","estimand","estimate","SE","CI_lo","CI_hi","people","observations","low_people","mid_people","status","singular","rank","columns","message"
"Spain","instantaneous_rate_year_4",-0.00504369287805145,0.0363343897521216,-0.076257788192451,0.0661704024363481,5839,21045,5152,687,"ok",FALSE,20,20,""
"Spain","average_annual_change_difference_0_to_4",-0.044250216733671,0.0307562298091475,-0.104531319459837,0.0160308859924953,5839,21045,5152,687,"ok",FALSE,20,20,""
"Italy","instantaneous_rate_year_4",0.00493321197604506,0.0263645239836438,-0.0467403055014392,0.0566067294535293,5361,20340,4089,1272,"ok",FALSE,20,20,""
"Italy","average_annual_change_difference_0_to_4",-0.032639042608141,0.0235895506248366,-0.0788737122443051,0.0135956270280231,5361,20340,4089,1272,"ok",FALSE,20,20,""
"Czech Republic","instantaneous_rate_year_4",-0.0135073053454,0.0259116526359955,-0.0642932112918635,0.0372786006010636,4942,18760,2344,2598,"ok",FALSE,20,20,""
"Czech Republic","average_annual_change_difference_0_to_4",-0.0333959129851266,0.020438925766774,-0.0734554713706915,0.00666364540043817,4942,18760,2344,2598,"ok",FALSE,20,20,""
"Belgium","instantaneous_rate_year_4",0.00668061198449847,0.0219970915999258,-0.0364328953159847,0.0497941192849816,4838,18273,2905,1933,"ok",FALSE,20,20,""
"Belgium","average_annual_change_difference_0_to_4",-0.0293754172575825,0.0202200556654717,-0.0690059981273022,0.0102551636121372,4838,18273,2905,1933,"ok",FALSE,20,20,""
"Estonia","instantaneous_rate_year_4",-0.0637090161169984,0.0325602960438523,-0.127526023688911,0.000107991454913955,4808,17678,1734,3074,"ok",FALSE,20,20,""
"Estonia","average_annual_change_difference_0_to_4",-0.010478200511123,0.0275172541665488,-0.0644110276309935,0.0434546266087474,4808,17678,1734,3074,"ok",FALSE,20,20,""
"France","instantaneous_rate_year_4",0.0399578268044218,0.0223795021951105,-0.00390519148992993,0.0838208450987735,4652,17610,2630,2022,"ok",FALSE,20,20,""
"France","average_annual_change_difference_0_to_4",-0.00695453407770345,0.0214722103798379,-0.0490392930906528,0.0351302249352459,4652,17610,2630,2022,"ok",FALSE,20,20,""
"Greece","instantaneous_rate_year_4",-0.0998857895651449,0.029380802312118,-0.157471103933787,-0.0423004751965025,3954,12114,2666,1288,"ok",FALSE,20,20,""
"Greece","average_annual_change_difference_0_to_4",-0.133889767738402,0.0280072487619601,-0.188782966617898,-0.0789965688589062,3954,12114,2666,1288,"ok",FALSE,20,20,""
