"country","people","observations","low_people","mid_people","observations_year3_to_5","max_followup","include"
"Spain",5839,21045,5152,687,3189,16,TRUE
"Italy",5361,20340,4089,1272,2643,16,TRUE
"Czech Republic",4942,18760,2344,2598,4003,14,TRUE
"Belgium",4838,18273,2905,1933,1878,16,TRUE
"Estonia",4808,17678,1734,3074,3600,9,TRUE
"France",4652,17610,2630,2022,2106,16,TRUE
"Greece",3954,12114,2666,1288,1257,16,TRUE
"Germany",3917,13867,696,3221,2240,16,TRUE
"Sweden",3621,13800,2057,1564,1365,16,TRUE
"Austria",3594,13182,1218,2376,1804,16,TRUE
"Slovenia",3562,11837,1429,2133,2643,9,TRUE
"Switzerland",2953,12483,798,2155,1982,16,TRUE
"Netherlands",2878,8506,1903,975,368,16,TRUE
"Poland",2850,8450,1045,1805,2633,14,TRUE
"Denmark",2644,10359,889,1755,1417,16,TRUE
"Israel",1892,7013,983,909,179,16,TRUE
"Croatia",1749,4313,1229,520,944,5,TRUE
"Portugal",1369,3572,1215,154,1173,6,TRUE
"Hungary",1277,3072,434,843,16,9,FALSE
"Luxembourg",1183,3540,614,569,821,7,TRUE
"Romania",1145,2290,596,549,1145,3,FALSE
"Lithuania",861,1722,255,606,861,3,FALSE
"Slovakia",854,1708,101,753,854,3,FALSE
"Bulgaria",738,1476,299,439,738,3,FALSE
"Malta",690,1380,364,326,690,3,FALSE
"Finland",614,1228,282,332,614,3,FALSE
"Latvia",542,1084,138,404,542,3,FALSE
"Cyprus",416,832,270,146,416,3,FALSE
